Date,Value
31-08-2021,74.1155
31-07-2021,74.539
30-06-2021,73.5782
31-05-2021,73.2065
30-04-2021,74.5186
31-03-2021,72.8196
28-02-2021,72.8053
31-01-2021,73.1106
31-12-2020,73.6195
30-11-2020,74.2311
31-10-2020,73.5648
30-09-2020,73.5233
31-08-2020,74.5657
31-07-2020,74.9286
30-06-2020,75.7077
31-05-2020,75.6575
30-04-2020,76.1682
31-03-2020,74.5482
29-02-2020,71.5295
31-01-2020,71.279
31-12-2019,71.1567
30-11-2019,71.4942
31-10-2019,71.0086
30-09-2019,71.311
31-08-2019,71.1891
31-07-2019,68.7391
30-06-2019,69.388
31-05-2019,69.7827
30-04-2019,69.4068
31-03-2019,69.4895
28-02-2019,71.1739
31-01-2019,70.71
31-12-2018,70.8331
30-11-2018,71.738
31-10-2018,73.5609
30-09-2018,72.2779
31-08-2018,69.6317
31-07-2018,68.6867
30-06-2018,67.79
31-05-2018,67.51
30-04-2018,65.6729
31-03-2018,65.0455
28-02-2018,64.43
31-01-2018,63.6452
31-12-2017,64.2445
30-11-2017,64.8435
31-10-2017,65.0357
30-09-2017,64.4775
31-08-2017,63.9683
31-07-2017,64.424
30-06-2017,64.4482
31-05-2017,64.4195
30-04-2017,64.536
31-03-2017,65.8009
28-02-2017,66.9726
31-01-2017,68.0474
31-12-2016,67.8052
30-11-2016,67.6395
31-10-2016,66.7415
30-09-2016,66.7138
31-08-2016,66.9035
31-07-2016,67.158
30-06-2016,67.2655
31-05-2016,66.8895
30-04-2016,66.4219
31-03-2016,66.8909
29-02-2016,68.2395
31-01-2016,67.3332
31-12-2015,66.5023
30-11-2015,66.1
31-10-2015,65.0262
30-09-2015,66.1667
31-08-2015,65.0971
31-07-2015,63.6045
30-06-2015,63.7809
31-05-2015,63.715
30-04-2015,62.6414
31-03-2015,62.4805
28-02-2015,61.9905
31-01-2015,62.13
31-12-2014,62.7071
30-11-2014,61.6828
31-10-2014,61.3668
30-09-2014,60.8976
31-08-2014,60.8738
31-07-2014,60.0956
30-06-2014,59.7367
31-05-2014,59.2843
30-04-2014,60.3464
31-03-2014,60.9476
28-02-2014,62.1642
31-01-2014,62.1057
31-12-2013,61.811
30-11-2013,62.5179
31-10-2013,61.6059
30-09-2013,63.648
31-08-2013,62.8109
31-07-2013,59.7609
30-06-2013,58.3835
31-05-2013,54.9845
30-04-2013,54.3236
31-03-2013,54.4229
28-02-2013,53.8079
31-01-2013,54.229
31-12-2012,54.647
30-11-2012,54.7845
31-10-2012,53.0995
30-09-2012,54.35
31-08-2012,55.4935
31-07-2012,55.4248
30-06-2012,55.9424
31-05-2012,54.3314
30-04-2012,51.69
31-03-2012,50.3635
29-02-2012,49.1812
31-01-2012,51.0015
31-12-2011,52.3824
30-11-2011,50.6785
31-10-2011,49.202
30-09-2011,47.6905
31-08-2011,45.3135
31-07-2011,44.396
30-06-2011,44.8109
31-05-2011,44.9024
30-04-2011,44.301
31-03-2011,44.9143
28-02-2011,45.3795
31-01-2011,45.375
31-12-2010,45.1
30-11-2010,44.9315
31-10-2010,44.354
30-09-2010,45.8729
31-08-2010,46.4605
31-07-2010,46.7617
30-06-2010,46.4983
31-05-2010,45.769
30-04-2010,44.444
31-03-2010,45.4509
28-02-2010,46.2732
31-01-2010,45.8944
31-12-2009,46.5273
30-11-2009,46.5305
31-10-2009,46.6524
30-09-2009,48.2924
31-08-2009,48.2426
31-07-2009,48.3624
30-06-2009,47.6736
31-05-2009,48.51
30-04-2009,49.9655
31-03-2009,51.1291
28-02-2009,49.2484
31-01-2009,48.6995
31-12-2008,48.5132
30-11-2008,48.8517
31-10-2008,48.6155
30-09-2008,45.53
31-08-2008,42.9057
31-07-2008,42.7027
30-06-2008,42.7633
31-05-2008,42.0019
30-04-2008,39.9668
31-03-2008,40.1452
29-02-2008,39.6735
31-01-2008,39.2676
31-12-2007,39.375
30-11-2007,39.3267
31-10-2007,39.3661
30-09-2007,40.1735
31-08-2007,40.6791
31-07-2007,40.2738
30-06-2007,40.5905
31-05-2007,40.5686
30-04-2007,42.0176
31-03-2007,43.7936
28-02-2007,44.0195
31-01-2007,44.2062
31-12-2006,44.4835
30-11-2006,44.7257
31-10-2006,45.3552
30-09-2006,46.0105
31-08-2006,46.4461
31-07-2006,46.3675
30-06-2006,45.8886
31-05-2006,45.1959
30-04-2006,44.8245
31-03-2006,44.3378
28-02-2006,44.23
31-01-2006,44.201
31-12-2005,45.5633
30-11-2005,45.6315
31-10-2005,44.7575
30-09-2005,43.8462
31-08-2005,43.55
31-07-2005,43.434
30-06-2005,43.5245
31-05-2005,43.4095
30-04-2005,43.6419
31-03-2005,43.5861
28-02-2005,43.5758
31-01-2005,43.615
31-12-2004,43.847
30-11-2004,45.0325
31-10-2004,45.7355
30-09-2004,46.0548
31-08-2004,46.322
31-07-2004,46.0557
30-06-2004,45.5027
31-05-2004,45.1755
30-04-2004,43.8918
31-03-2004,44.9693
29-02-2004,45.2726
31-01-2004,45.456
31-12-2003,45.5741
30-11-2003,45.5544
31-10-2003,45.4036
30-09-2003,45.8467
31-08-2003,45.9557
31-07-2003,46.22
30-06-2003,46.6995
31-05-2003,47.11
30-04-2003,47.3909
31-03-2003,47.6767
28-02-2003,47.7474
31-01-2003,47.9571
31-12-2002,48.1495
30-11-2002,48.2853
31-10-2002,48.3882
30-09-2002,48.4625
31-08-2002,48.615
31-07-2002,48.7877
30-06-2002,48.984
31-05-2002,49.0168
30-04-2002,48.9386
31-03-2002,48.7667
28-02-2002,48.7168
31-01-2002,48.3533
31-12-2001,47.9345
30-11-2001,48.043
31-10-2001,48.0514
30-09-2001,47.7511
31-08-2001,47.1665
31-07-2001,47.1781
30-06-2001,47.0424
31-05-2001,46.9473
30-04-2001,46.7886
31-03-2001,46.6532
28-02-2001,46.5616
31-01-2001,46.6138
31-12-2000,46.7845
30-11-2000,46.8214
31-10-2000,46.4252
30-09-2000,45.968
31-08-2000,45.7687
31-07-2000,44.8405
30-06-2000,44.7605
31-05-2000,44.0759
30-04-2000,43.6847
31-03-2000,43.6383
29-02-2000,43.654
31-01-2000,43.5895
31-12-1999,43.5239
30-11-1999,43.458
31-10-1999,43.5528
30-09-1999,43.5981
31-08-1999,43.5032
31-07-1999,43.3567
30-06-1999,43.2127
31-05-1999,42.859
30-04-1999,42.7968
31-03-1999,42.5161
28-02-1999,42.5316
31-01-1999,42.5453
31-12-1998,42.5909
30-11-1998,42.4284
31-10-1998,42.3943
30-09-1998,42.579
31-08-1998,42.8429
31-07-1998,42.6118
30-06-1998,42.3668
31-05-1998,40.4687
30-04-1998,39.7029
31-03-1998,39.5686
28-02-1998,39.0079
31-01-1998,39.391
31-12-1997,39.4
30-11-1997,37.2889
31-10-1997,36.302
30-09-1997,36.4756
31-08-1997,36.0085
31-07-1997,35.7474
30-06-1997,35.8202
31-05-1997,35.8248
30-04-1997,35.8281
31-03-1997,35.8848
28-02-1997,35.8905
31-01-1997,35.9037
31-12-1996,35.8815
30-11-1996,35.8392
31-10-1996,35.8036
30-09-1996,35.87
31-08-1996,35.8
31-07-1996,35.6673
30-06-1996,35.0995
31-05-1996,35.025
30-04-1996,34.3195
31-03-1996,34.4852
29-02-1996,36.5945
31-01-1996,35.8117
31-12-1995,34.9663
30-11-1995,34.71
31-10-1995,34.6564
30-09-1995,33.3098
31-08-1995,31.5923
31-07-1995,31.3853
30-06-1995,31.4037
31-05-1995,31.4179
30-04-1995,31.4073
31-03-1995,31.5865
28-02-1995,31.3795
31-01-1995,31.3736
31-12-1994,31.3894
30-11-1994,31.394
31-10-1994,31.3726
30-09-1994,31.3723
31-08-1994,31.3727
31-07-1994,31.3764
30-06-1994,31.3845
31-05-1994,31.3754
30-04-1994,31.3914
31-03-1994,31.4147
28-02-1994,31.4489
31-01-1994,31.44
31-12-1993,31.44
30-11-1993,31.4335
31-10-1993,31.505
30-09-1993,31.5776
31-08-1993,31.6123
31-07-1993,31.6
30-06-1993,31.6682
31-05-1993,31.6125
30-04-1993,31.6095
31-03-1993,31.9391
28-02-1993,30.0421
31-01-1993,29.0432
31-12-1992,28.9786
30-11-1992,28.4737
31-10-1992,28.4767
30-09-1992,28.4757
31-08-1992,28.4635
31-07-1992,28.5639
30-06-1992,28.5186
31-05-1992,28.5415
30-04-1992,28.8962
31-03-1992,28.3777
29-02-1992,25.9921
31-01-1992,25.8629
31-12-1991,25.818
30-11-1991,25.8021
31-10-1991,25.7973
30-09-1991,25.8335
31-08-1991,25.8457
31-07-1991,25.6127
30-06-1991,21.062
31-05-1991,20.5186
30-04-1991,19.9064
31-03-1991,19.2429
28-02-1991,18.86
31-01-1991,18.339
31-12-1990,18.1272
30-11-1990,18.0975
31-10-1990,18.0736
30-09-1990,17.8595
31-08-1990,17.3465
31-07-1990,17.4119
30-06-1990,17.421
31-05-1990,17.3245
30-04-1990,17.2943
31-03-1990,17.1164
28-02-1990,16.9895
31-01-1990,16.9633
31-12-1989,16.932
30-11-1989,16.9248
31-10-1989,16.819
30-09-1989,16.745
31-08-1989,16.6091
31-07-1989,16.416
30-06-1989,16.4195
31-05-1989,16.1018
30-04-1989,15.718
31-03-1989,15.4674
28-02-1989,15.2405
31-01-1989,15.0925
31-12-1988,15.019
30-11-1988,14.966
31-10-1988,14.72
30-09-1988,14.4895
31-08-1988,14.217
31-07-1988,14.0795
30-06-1988,13.7859
31-05-1988,13.3157
30-04-1988,13.1576
31-03-1988,12.9791
29-02-1988,13.065
31-01-1988,13.0395
31-12-1987,12.9345
30-11-1987,12.9721
31-10-1987,13.0429
30-09-1987,12.9933
31-08-1987,13.0852
31-07-1987,13.0126
30-06-1987,12.8368
31-05-1987,12.666
30-04-1987,12.8145
31-03-1987,12.9236
28-02-1987,13.0621
31-01-1987,13.0295
31-12-1986,13.1486
30-11-1986,13.0761
31-10-1986,12.8486
30-09-1986,12.6757
31-08-1986,12.5667
31-07-1986,12.5077
30-06-1986,12.5986
31-05-1986,12.4657
30-04-1986,12.3932
31-03-1986,12.289
28-02-1986,12.37
31-01-1986,12.2433
31-12-1985,12.1524
30-11-1985,12.1011
31-10-1985,12.0332
30-09-1985,12.1255
31-08-1985,11.8977
31-07-1985,12.0314
30-06-1985,12.4405
31-05-1985,12.5005
30-04-1985,12.4005
31-03-1985,12.8614
28-02-1985,12.9217
31-01-1985,12.6119
31-12-1984,12.2925
30-11-1984,12.0784
31-10-1984,12.0268
30-09-1984,11.8584
31-08-1984,11.5561
31-07-1984,11.3714
30-06-1984,11.0638
31-05-1984,11.0168
30-04-1984,10.82
31-03-1984,10.7145
29-02-1984,10.7437
31-01-1984,10.7152
31-12-1983,10.4895
30-11-1983,10.3784
31-10-1983,10.229
30-09-1983,10.2005
31-08-1983,10.1874
31-07-1983,10.0875
30-06-1983,10.0491
31-05-1983,9.9895
30-04-1983,9.9824
31-03-1983,9.9652
28-02-1983,9.9184
31-01-1983,9.7938
31-12-1982,9.6926
30-11-1982,9.7968
31-10-1982,9.7005
30-09-1982,9.6495
31-08-1982,9.5741
31-07-1982,9.5633
30-06-1982,9.4668
31-05-1982,9.2965
30-04-1982,9.3923
31-03-1982,9.2935
28-02-1982,9.2144
31-01-1982,9.1525
31-12-1981,9.1305
30-11-1981,9.135
31-10-1981,9.1348
30-09-1981,9.1152
31-08-1981,9.0605
31-07-1981,8.9065
30-06-1981,8.5564
31-05-1981,8.4045
30-04-1981,8.2918
31-03-1981,8.2432
28-02-1981,8.2211
31-01-1981,7.9576
31-12-1980,7.9314
30-11-1980,7.7712
31-10-1980,7.7323
30-09-1980,7.7495
31-08-1980,7.7824
31-07-1980,7.7664
30-06-1980,7.8424
31-05-1980,7.8586
30-04-1980,8.07
31-03-1980,8.1519
29-02-1980,7.9816
31-01-1980,7.9882
31-12-1979,8.0995
30-11-1979,8.1926
31-10-1979,8.2259
30-09-1979,8.1358
31-08-1979,8.0113
31-07-1979,7.9067
30-06-1979,8.119
31-05-1979,8.2891
30-04-1979,8.2062
31-03-1979,8.2418
28-02-1979,8.25
31-01-1979,8.2091
31-12-1978,8.216
30-11-1978,8.0335
31-10-1978,7.911
30-09-1978,8.0365
31-08-1978,8.0139
31-07-1978,8.1665
30-06-1978,8.4041
31-05-1978,8.5827
30-04-1978,8.465
31-03-1978,8.2078
28-02-1978,8.1094
31-01-1978,8.201
31-12-1977,8.5371
30-11-1977,8.6405
31-10-1977,8.615
30-09-1977,8.73
31-08-1977,8.7213
31-07-1977,8.8163
30-06-1977,8.8605
31-05-1977,8.8338
30-04-1977,8.8429
31-03-1977,8.8417
28-02-1977,8.8626
31-01-1977,8.9052
31-12-1976,8.8535
30-11-1976,8.9658
31-10-1976,8.896
30-09-1976,9.0614
31-08-1976,8.9755
31-07-1976,8.9233
30-06-1976,9.1109
31-05-1976,9.0265
30-04-1976,8.9918
31-03-1976,8.9648
29-02-1976,8.9389
31-01-1976,8.9471
31-12-1975,8.9827
30-11-1975,8.8994
31-10-1975,8.8945
30-09-1975,8.8648
31-08-1975,8.7895
31-07-1975,8.4895
30-06-1975,8.1914
31-05-1975,8.07
30-04-1975,7.8841
31-03-1975,7.75
28-02-1975,7.9717
31-01-1975,8.13
31-12-1974,8.0952
30-11-1974,8.0644
31-10-1974,8.0505
30-09-1974,8.121
31-08-1974,7.9841
31-07-1974,7.8345
30-06-1974,7.849
31-05-1974,7.7855
30-04-1974,7.8655
31-03-1974,8.0567
28-02-1974,8.2444
31-01-1974,8.4377
31-12-1973,8.11
30-11-1973,7.834
31-10-1973,7.7271
30-09-1973,7.7
31-08-1973,7.5643
31-07-1973,7.351
30-06-1973,7.2719
31-05-1973,7.4927
30-04-1973,7.5462
31-03-1973,7.5465
28-02-1973,7.7538
31-01-1973,8.0041
